sen1_origin_id,sentence1,sen1_paraphrase0,sen1_paraphrase1,sen1_paraphrase2,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_task
RTE1_dev.column_s1_177,Increased storage is n't all Microsoft will be offering its Hotmail users-they can also look forward to free anti-virus protection .,Increased storage space is not all Microsoft will offer its Hotmail users - they can also look forward to free antivirus protection.,Increased storage isn't all Microsoft will offer its Hotmail users - they can also look forward to free anti-virus protection.,Increased storage is not all Microsoft is offering its hotmail users - they can also look forward to free anti-virus protection.,RC,RTE3_dev.column_s1_457,"Even Homer realises the cleverness of Jan De Bont 's tautly-directed action . Laser Movies , Speed , Widescreen with Keanu Reeves , Dennis Hopper , Sandra Bullock .","Even Homer realizes the cleverness of Jan De Bont's tautly directed action : laser movies, Speed, Widescreen with Keanu Reeves, Dennis Hopper, Sandra Bullock.",QA
RTE1_dev.column_s1_606,"`` That film was n't too successful , but then ' WarGames , ' which was successful , came out right when I won the Tony for ' Brighton Beach ' in 1983 .","That film wasn't too successful but then'WarGames, which was successful, came out right when I won the Tony for'Brighton Beach'in 1983."," That film wasn't too successful, but then'WarGames'which was successful, came out right when I won the Tony for'Brighton Beach'in 1983.","The film was not too successful, but then'WarGames ', which was successful, came out right, when I won Tony for'Brighton Beach'in 1983.",QA,RTE3_dev.column_s1_791,"Attack helicopters , Chinooks , armoured vehicles , cranes and a fire engine encircled the group .","It encircled the group with attack helicopters, Chinooks, blind vehicles, cranes and a fire engine.",SUM
RTE1_dev.column_s1_178,Increased storage is n't all Microsoft will be offering its Hotmail users-they can also look forward to free anti-virus protection .,Increased storage isn't all Microsoft will offer to its Hotmail users - they can also look forward to free anti-virus protection.,Increased storage isn 't all Microsoft will offer its Hotmail users ; they can also look forward to free anti-virus protection.,Increased storage is not all Microsoft will offer its hotmail users- they can also look forward to free anti-virus protection.,RC,RTE3_dev.column_s1_790,"Forty-five percent of the bills examined were bipartisan , and 85 percent of the reviewed bills had Republican lead sponsors. 8221 ; Small business owners are disappointed by the Republican track record , particularly the lack of productivity in the Senate .","Forty-five percent of the bills examined were bipartisan, and 85 percent of the reviewed bills had Republican leaders. 8221 Small business owners are disappointed with the Republican record, especially the lack of productiveness in the Senate.",SUM
RTE3_dev.column_s1_436,"`` It 's a vote of confidence that the momentum is going to continue '' , Doyle said . The momentum also appears to be moving south . The Mexican election is the latest indication that the free-market reforms that have swept Latin America during the past decade are gaining political acceptance . In Brazil , prices rose sharply , reacting to the Mexico vote and to new polls favorable to free-market presidential candidate Fernando Henrique Cardoso .","The Mexican election is the latest indication that free-market reforms that have swept Latin America during the past decade are gaining political acceptance. Prices in Brazil rose sharply, reacting to the Mexico vote and new polls favorable to the Free-Market presidential candidate Fernando Henrique Cardoso.","The Mexican election is the latest indication that free-market reforms that have swept Latin America during the past decade are gaining political acceptance. In Brazil, prices rose sharply to react to the Mexico vote and to new polls favorable to free-market presidential candidate Fernando Henrique Cardoso.","The Mexican election is the latest indicator that the free-market reforms that have swept Latin America during the past decade are gaining political acceptance. In Brazil, prices rose sharply in response to the Mexico vote and to new polls favorable to free-market presidential candidate Fernando Henrique Cardoso.",QA,RTE3_dev.column_s1_416,"Since ' 82 Federal Chancellor ( elected by `` constructive vote of no confidence '' against former Chancellor Helmut Schmidt , Social Democratic Party ( SPD ) ; reelected 1983 , 1987 , 1991 and 1994 ) . This makes Helmut Kohl the longest-serving chancellor of the Federal Republic , passing by Konrad Adenauer , the first chancellor , this October .","Since '82 Federal Chancellor ( elected by  constructive vote of no confidence '' against former Chancellor Helmut Schmidt, Social Democratic Party ( SPD ) ; reelected 1983, 1987, 1991 and 1994 ) Helmut Kohl is the longest serving federal general chancellor, after Konrad Adenauer, the first prime minister, died in October.",QA
RTE3_dev.column_s1_380,"Then China rolled out the fake Panchen Lama , Gyaltsen Norbu , a teenager chosen as the reincarnation of a major lama by the atheist Communist leaders and trained since childhood to spout nationalist slogans while wearing robes . Newspapers reporting on the debacle generally tried to present both sides , but it seems fair to say there 's really only one side to this sham and that pretty much nobody in the Tibetan community accepts Norbu as the real Panchen Lama . The Dalai Lama 's choice for Panchen Lama , Gedhun Choekyi Nyima , has been in secret Chinese custody since 1995 .","Newspapers reporting on the debacle generally tried to present both sides but it seems fair to say there is really only one side to this sham and that pretty much nobody in the Tibetan community accepts Norbu as the real Panchen Lama, which the Dalai Lama has carved out since 1995 in secret Chinese custody.","Then China rolled out the false panchen Lama, Gyaltsen Norbu, a teenager chosen as a reincarnation of a major lama by the atheist Communist leaders and trained since childhood to say nationalist slogans while wearing robes. Newspapers reporting on the debacle generally tried to present both sides, but it seems fair to say that pretty much nobody in the Tibetan community accepts Norbu as the real Panchen Lama. The Dalai Lama","Then China rolled out the fake Panchen Lama, Gyaltsen Norbu, a teenager selected by the atheist - Communist leaders as reincarnation of a major lama, trained since childhood to spit nationalist slogans while wearing robes, but it seems fair to say there's actually only one side to this sham and that pretty much nobody in the Tibetan community accepts Norbu as the real Panchen Lama. The Dalai Lam",IR,RTE3_dev.column_s1_582,"`` For Japanese yakuza , the most important thing is staying alive , and making money is second , '' the yakuza said ."," The most important thing for Japanese yakuza is survival, making money is second, '' said the yakuza.",QA
RTE3_dev.column_s1_354,"The International Olympic Committee has leapt to the defence of the drug-testing lab at the centre of the Merlene Ottey doping case . Athletics ' governing body , the IAAF , last week cleared Ottey of accusations of steroid use and lifted a two-year ban after their arbitration panel said the IOC-accredited lab in Lausanne improperly tested Ottey 's urine sample .","The International Olympic Committee leapt to defend the drug testing lab at the center of the Merlene Ottey Doping case. Athletics'governing body, the IAAF, cleared Ottey last week of accusations of steroids use and lifted a two-year ban after their arbitration panel said the IOC accredited lab in Lausanne improperly tested Ottey's urine sample.","The International Olympic Committee jumped to the defence of the drug testing lab at the centre of the Merlene Ottey doping case. The governing body of athletics, the IAAF, cleared Ottey of steroid allegations last week and lifted a two-year ban after their arbitration panel said the IOC accredited lab in Lausanne improperly tested Ottey's urine sample.","The International Olympic Committee has jumped to the defense of the drug lab at the center of the Merlene Ottey doping case. Last week, the athletics'governing body, the IAAF cleared Ottey of accusations of steroid use and lifted a two-year ban after their arbitration panel said the IOC-accredited lab in Lausanne improperly tested Ottey's urine sample.",IR,RTE3_dev.column_s1_504,"Tintin , the Smurfs , Boule et Bill , Astrix , Natacha , Spirou and other legendary characters were created by talented artists like Herg , Morris , Franquin and Walthry .","By talented artists such as Herg, Morris, Franquin and Walthry, Tintin, the Smurfs, Boule et Bill, Astrix, Natacha, Spirou and other legendary characters, a legendary character was created.",QA
RTE3_dev.column_s1_204,"A former philosophy teacher whose best-known novel , Sophie 's World , was a surprise international best-seller .","A former philosophy teacher, whose best-known novel, Sophie's World, was an international bestseller.","A former philosophy teacher, whose best-known novel, Sophie's World, was an international bestselling mystery.","A former philosophy teacher whose most famous novel, Sophie's World, was a surprise international bestseller.",IR,RTE3_dev.column_s1_521,"February 4 , 2005 , Iraq . With more than two-thirds of the 3.3 million votes counted in the Iraqi legislative election , the United Iraqi Alliance has a considerable lead over interim Iraqi Prime Minister Iyad Allawi 's Iraqi List which trails with approximately 17 % of the current tally .","With more than two-thirds of the 3.3 million votes counted in the Iraqi parliament election, the United Iraqi Alliance has a significant lead over interim Iraqi Prime Minister Iyad Allawi's Iraqi List which trails about 17 % of the current tally.",QA
RTE3_dev.column_s1_249,"Elsewhere , Mozambique took its first ever Olympic gold medal when Maria Mutola won the women 's eight-hundred metres , while the men 's ten-thousand-metres went to the Ethiopian Haile Gebrselassie .","Elsewhere, Mozambique took its first Olympic gold medal when Maria Mutola won the eight-hundred meters of the women, while the ten-thousand-meters of the men went to Ethiopia's Haile Gebrselassie.","Elsewhere, Mozambique took its first Olympic gold medal when Maria Mutola won the eight-hundred meters of the women, while the 10-thousand-metres went to the Ethiopian Haile Gebrselassie.","Mozambique took its first Olympic gold medal there, when Maria Mutola won the eight-thousand-metre women, while the men's ten thousand-metres went to the Ethiopian Haile Gebrselassie.",IR,RTE1_dev.column_s1_570,"`` I guess you have to expect this in a growing community , '' said Mardelle Kean , who lives across the street from John Joseph Famalaro , charged in the death of Denise A. Huber , who was 23 when she disappeared in 1991 .","Mardelle Kean, who lives across the street from John Joseph Famalaro, is charged in the death of Denise A. Huber, who was 23 when she disappeared in 1991.",QA
RTE3_dev.column_s1_142,"They named themselves for Saint Joan of Arc . The brigade began with 17 women , but soon grew to 135 members . Its mission was to obtain money , weapons , provisions , and information for the combatant men . Many smuggled weapons into the combat zones by carrying them in carts filled with grain or cement .","The brigade began with 17 women, but soon expanded to 135 members ; its mission was to collect money, weapons, provisions and information for combatants, many smuggled weapons into the combat zones by carrying them in carts filled with grain or cement.","The brigade began with 17 women but grew quickly to 135 members. Its mission was to obtain money, weapons, provisions and information for combatants. Many smuggled weapons into combat zones by carrying them in carts filled with grain or cement.","The brigade began with 17 women, but soon grew to 135 members. Its mission was to obtain money, weapons, provisions and information for the combatants ; many smuggled weapons into combat zones by carrying them in carts filled with grains or cement.",IE,RTE3_dev.column_s1_294,"Mental health problems in children and adolescents are on the rise , the British Medical Association has warned , and services are ill-equipped to cope .","The British Medical Association has warned that mental health problems in children and adolescents are increasing, and services are inadequate to cope.",IR
RTE3_dev.column_s1_297,"Mr Gregory 's conclusion in 1994 was that the ceremony , transferred to the more convenient nearest Sunday , was dying out . However , that year the Conservative government proclaimed `` festivities '' to celebrate the 50 th anniversary of the Normandy landings .","The conclusion of Mr Gregory in 1994 was that the ceremony, moved to the more convenient Sunday, was dying out ; but that year, the Conservative government proclaimed  celebrations '' to celebrate the 50th anniversary of Normandy landings.","Mr Gregory's conclusion in 1994 was that the ceremony, transferred to the more convenient Sunday, was dying out but in this year the Conservative government proclaimed  festivities '' to celebrate the 50th anniversary of the Normandy landings.","In 1994, Mr Gregory's conclusion was that the ceremony, moved to the convenient Sunday, was dying out, but the Conservative government also declared in that year's celebrations to celebrate the 50th anniversary of Normandy landings.",IR,RTE3_dev.column_s1_411,"Although I come across Borges and Calvino fairly often , too , I have to admit that Gabriel Garcia Marquez is the only one of the other authors I am at all familiar with , so I am not sure which difference it might make . I would be curious , though , what that difference might look like to people writing about media art and architecture in Spanish , for example .","Although I occasionally meet Borges and Calvino, I have to admit that Gabriel Garcia Marquez is the only other author I am familiar with, so I am not sure what that difference might make. I would be curious, however, what that difference might look like for people writing in Spanish about media art and architecture.",QA
